,Region,Capacity,Present,Date,Occupancy Rate,Region Group
326,LAZIO,5.254,6.52,2019-05-31,0.24095926912828314,centro
327,LIGURIA,1.131,1.509,2019-05-31,0.33421750663129957,centro
328,LOMBARDIA,6.199,8.61,2019-05-31,0.3889336989837069,centro
329,MARCHE,897.0,890.0,2019-05-31,-0.0078037904124860225,centro
330,MOLISE,270.0,414.0,2019-05-31,0.5333333333333334,sud
331,PIEMONTE,3.972,4.592,2019-05-31,0.15609264853977844,centro
332,PUGLIA,2.319,3.743,2019-05-31,0.6140577835273824,sud
333,SARDEGNA,2.706,2.19,2019-05-31,-0.19068736141906872,isole
334,SICILIA,6.484,6.48,2019-05-31,-0.0006169031462059937,isole
335,TOSCANA,3.145,3.523,2019-05-31,0.12019077901430841,centro
336,TRENTINO ALTO ADIGE,506.0,414.0,2019-05-31,-0.18181818181818177,nord-est
337,UMBRIA,1.324,1.407,2019-05-31,0.06268882175226587,centro
338,VALLE D'AOSTA,181.0,224.0,2019-05-31,0.2375690607734806,centro
339,VENETO,1.942,2.458,2019-05-31,0.26570545829042236,nord-est
340,ABRUZZO,1.645,2.027,2019-06-30,0.2322188449848026,sud
341,BASILICATA,413.0,469.0,2019-06-30,0.13559322033898313,sud
342,CALABRIA,2.734,2.869,2019-06-30,0.049378200438917386,sud
343,CAMPANIA,6.133,7.849,2019-06-30,0.27979781509864665,sud
344,EMILIA ROMAGNA,2.795,3.695,2019-06-30,0.3220035778175312,nord-est
345,FRIULI VENEZIA GIULIA,477.0,652.0,2019-06-30,0.36687631027253675,nord-est
346,LAZIO,5.254,6.484,2019-06-30,0.23410734678340317,centro
347,LIGURIA,1.104,1.504,2019-06-30,0.36231884057971,centro
348,LOMBARDIA,6.199,8.574,2019-06-30,0.38312631069527336,centro
349,MARCHE,897.0,886.0,2019-06-30,-0.012263099219620988,centro
350,MOLISE,270.0,414.0,2019-06-30,0.5333333333333334,sud
351,PIEMONTE,3.972,4.636,2019-06-30,0.16717019133937572,centro
352,PUGLIA,2.319,3.812,2019-06-30,0.6438119879258302,sud
353,SARDEGNA,2.706,2.189,2019-06-30,-0.19105691056910568,isole
354,SICILIA,6.484,6.452,2019-06-30,-0.004935225169648394,isole
355,TOSCANA,3.141,3.55,2019-06-30,0.13021330786373753,centro
356,TRENTINO ALTO ADIGE,506.0,417.0,2019-06-30,-0.1758893280632411,nord-est
357,UMBRIA,1.324,1.407,2019-06-30,0.06268882175226587,centro
358,VALLE D'AOSTA,181.0,204.0,2019-06-30,0.1270718232044199,centro
359,VENETO,1.942,2.432,2019-06-30,0.2523171987641606,nord-est
360,ABRUZZO,1.645,2.077,2019-07-31,0.26261398176291784,sud
361,BASILICATA,413.0,471.0,2019-07-31,0.1404358353510895,sud
362,CALABRIA,2.733,2.865,2019-07-31,0.04829857299670692,sud
363,CAMPANIA,6.157,7.606,2019-07-31,0.2353418872827675,sud
364,EMILIA ROMAGNA,2.795,3.707,2019-07-31,0.32629695885509835,nord-est
