Regione,Capienza regolamentare,Detenuti presenti (totale),Data
FRIULI VENEZIA GIULIA,479,674,2019-07-31
LAZIO,5.254,6.483,2019-07-31
LIGURIA,1.104,1.540,2019-07-31
LOMBARDIA,6.199,8.472,2019-07-31
MARCHE,856,893,2019-07-31
MOLISE,270,408,2019-07-31
PIEMONTE,3.972,4.665,2019-07-31
PUGLIA,2.319,3.745,2019-07-31
SARDEGNA,2.706,2.235,2019-07-31
SICILIA,6.484,6.396,2019-07-31
TOSCANA,3.141,3.598,2019-07-31
TRENTINO ALTO ADIGE,506,408,2019-07-31
UMBRIA,1.324,1.427,2019-07-31
VALLE D'AOSTA,181,183,2019-07-31
VENETO,1.942,2.401,2019-07-31
ABRUZZO,1.645,2.049,2019-08-31
BASILICATA,413,475,2019-08-31
CALABRIA,2.734,2.835,2019-08-31
CAMPANIA,6.157,7.577,2019-08-31
EMILIA ROMAGNA,2.792,3.766,2019-08-31
FRIULI VENEZIA GIULIA,479,695,2019-08-31
LAZIO,5.254,6.574,2019-08-31
LIGURIA,1.104,1.568,2019-08-31
LOMBARDIA,6.199,8.618,2019-08-31
MARCHE,856,881,2019-08-31
MOLISE,270,409,2019-08-31
PIEMONTE,3.971,4.698,2019-08-31
PUGLIA,2.319,3.784,2019-08-31
SARDEGNA,2.706,2.281,2019-08-31
SICILIA,6.476,6.367,2019-08-31
TOSCANA,3.141,3.652,2019-08-31
TRENTINO ALTO ADIGE,506,438,2019-08-31
UMBRIA,1.324,1.461,2019-08-31
VALLE D'AOSTA,181,178,2019-08-31
VENETO,1.942,2.435,2019-08-31
ABRUZZO,1.646,2.056,2019-09-30
BASILICATA,413,509,2019-09-30
CALABRIA,2.734,2.819,2019-09-30
CAMPANIA,6.157,7.560,2019-09-30
EMILIA ROMAGNA,2.793,3.760,2019-09-30
FRIULI VENEZIA GIULIA,479,666,2019-09-30
LAZIO,5.247,6.585,2019-09-30
LIGURIA,1.104,1.523,2019-09-30
LOMBARDIA,6.199,8.645,2019-09-30
MARCHE,856,891,2019-09-30
MOLISE,270,400,2019-09-30
PIEMONTE,3.971,4.686,2019-09-30
PUGLIA,2.319,3.815,2019-09-30
SARDEGNA,2.714,2.295,2019-09-30
SICILIA,6.476,6.496,2019-09-30
TOSCANA,3.141,3.658,2019-09-30
TRENTINO ALTO ADIGE,506,444,2019-09-30
UMBRIA,1.324,1.443,2019-09-30
VALLE D'AOSTA,181,200,2019-09-30
VENETO,1.942,2.430,2019-09-30
ABRUZZO,1.646,2.026,2019-10-31
